Country,,rgdpch1970,rgdpch2000,rgdpch2009,rgdpch1990,rgdpch1995,rgdpch2005,Growth Rate btw 1970-2009,Growth rates btw 1960 and 2009,Growth rate between 1990 and 2009,Growth rate btw 1995-2009,Growth Rate btw 2000 and 2009,Growth Rate between 2005 and 2009,rgdpch1960,1970 data,rgdpch1960,1995 data,1990 data,2000 data,africa,asia,westerneurope,,,,,,,,,,,,,,,,,
Dominica,,1628.53,5023.06,6577.93,4254.86,4464.83,5028.85,0.03644,,0.02319,0.02806,0.03042,0.06944,0.00,Dominica,1138.50,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,,2925.78,7308.78,9911.12,4713.03,5664.03,7955.19,0.03178,,0.03990,0.04078,0.03442,0.05650,2354.83,,2354.83,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,3156.96,4776.88,6171.29,4705.60,5108.24,5767.07,0.01734,,0.01437,0.01360,0.02887,0.01708,2806.84,,2806.84,,,,,,,,,,,,,,,,,,,,,,,
Egypt,,1334.05,3827.90,4955.67,2647.40,3402.78,4280.68,0.03422,,0.03355,0.02722,0.02911,0.03728,1036.31,,1036.31,,,,1,,,,,,,,,,,,,,,,,,,
El Salvador,,4148.94,5428.07,6338.36,4020.24,5077.11,5989.35,0.01093,,0.02425,0.01597,0.01738,0.01426,3397.20,,3397.20,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,,646.19,5831.65,22031.48,627.29,751.48,15421.75,0.09471,,0.20600,0.27290,0.15915,0.09327,567.66,,567.66,,,,1,,,,,,,,,,,,,,,,,,,
Eritrea,,,819.54,592.45,,763.17,715.31,#DIV/0!,,#DIV/0!,-0.01792,-0.03541,-0.04602,0.00,,1437.27,Eritrea,,,1,,,,,,,,,,,,,,,,,,,
Estonia,,,10437.08,16264.25,9723.51,7666.01,16143.95,#DIV/0!,,0.02744,0.05520,0.05052,0.00186,0.00,,4315.88,,Estonia,,,,,,,,,,,,,,,,,,,,,
Ethiopia,,460.66,459.66,683.61,413.53,383.39,509.95,0.01017,,0.02681,0.04217,0.04509,0.07602,388.04,,388.04,,,,1,,,,,,,,,,,,,,,,,,,
Fiji,,2488.27,4177.89,4284.22,3711.28,3950.28,4513.79,0.01403,,0.00758,0.00581,0.00280,-0.01296,1977.48,,1977.48,,,,,,,,,,,,,,,,,,,,,,,
Finland,,13909.50,28263.29,32161.50,24425.03,22575.75,31760.53,0.02172,,0.01459,0.02560,0.01446,0.00314,9080.45,,9080.45,,,,,,1,,,,,,,,,,,,,,,,,
France,,15676.11,29272.09,30821.67,25442.60,26141.72,30974.47,0.01749,,0.01015,0.01183,0.00575,-0.00124,10101.31,,10101.31,,,,,,1,,,,,,,,,,,,,,,,,
Gabon,,8959.63,11046.38,10283.92,10906.95,11280.79,10301.45,0.00354,,-0.00309,-0.00659,-0.00792,-0.00043,4518.43,,4518.43,,,,1,,,,,,,,,,,,,,,,,,,
